Idreg,REG,pays,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,Urb1959,Urb1970,Urb1979,Urb1989,Urb2002,Urb2010,1959,1970,1979,1989,2002,2010
ARM00,Arménie,Arménie,1763,2492,3037,3305,3213,3249,759.657,1331.815,1814.61,2063.929,1938.563,1951.7,43.1,53.4,59.7,62.5,60.3,60.1
AZE00,Azerbaidjan,Azerbaidjan,3698,5117,6027,7021,8141,8998,1408.411,2151.892,2742.255,3380.916,3826.75,4277,38.1,42.1,45.5,48.2,47,47.5
BEL00,Biélorussie,Biélorussie,8055,9002,9533,10152,9951,9500,1840.51,3241.324,4567.944,6048.542,6329.209,6540.923,22.9,36,47.9,59.6,63.6,68.9
EST00,Estonie,Estonie,1197,1356,1464,1566,1361,1340,536.866,740.897,869.54,962.602,805.581,798.151,44.9,54.6,59.4,61.5,59.2,59.6
GEO00,Géorgie,Géorgie,4044,4686,4993,5401,4372,4436,1414.05,1832.808,2173.938,2534.377,2056.72,2156.278,35,39.1,43.5,46.9,47,48.6
KAZ001,Nord,Kazakhstan,3317,4563,4905,5329,4309,4241,1216.719,1941.211,2350.048,2727.864,2345.188,2603.797,36.7,42.5,47.9,51.2,54.4,61.4
KAZ002,Nord Est,Kazakhstan,1710,2257,2452,2708,2338,2143,219.715,403.611,568.454,742.604,698.246,746.077,12.8,17.9,23.2,27.4,29.9,34.8
KAZ003,Nord Ouest,Kazakhstan,783,1064,1211,1362,1299,1380,616.589,889.873,1047.131,1257.531,1114.503,1251.748,78.7,83.7,86.5,92.3,85.8,90.7
KAZ004,Sud,Kazakhstan,1810,2574,3067,3502,3592,4288,576.651,963.312,1239.939,1500.04,1494.376,1796.156,31.9,37.4,40.4,42.8,41.6,41.9
KAZ005,Sud Est,Kazakhstan,1403,2052,2429,2815,2688,3274,673.643,1064.562,1315.884,1618.698,1605.571,1890.697,48,51.9,54.2,57.5,59.7,57.7
KAZ006,Sud Ouest,Kazakhstan,288,500,622,749,755,1046,107.69,247.63,349.984,479.906,494.525,613.89,37.4,49.6,56.3,64.1,65.5,58.7
KIR00,Kirghizistan,Kirghizistan,2066,2933,3523,4258,4947,5418,304.625,572.702,1182.376,1434.394,1570.711,1697.173,14.7,19.5,33.6,33.7,31.8,31.3
LET00,Lettonie,Lettonie,2093,2364,2503,2667,2346,2248,888.764,1220.729,1500.874,1649.151,1386.795,1326.262,42.5,51.6,60,61.8,59.1,59
